feature,importance
latency_ms_avg,0.04370849
latency_ms_p95,0.044879332
prb_util_pct_avg,0.031258687
thrpt_mbps_avg,0.040042207
jitter_ms_avg,0.036047794
pkt_loss_pct_avg,0.031883456
drop_rate_pct_avg,0.043959834
sinr_db_avg,0.029335672
rsrp_dbm_avg,0.033262637
anomaly_rate,0.04595097
hour,0.038650494
n_samples,0.0
latency_ms_p95_lag1,0.031593733
prb_util_pct_avg_lag1,0.044187587
thrpt_mbps_avg_lag1,0.060130782
sinr_db_avg_lag1,0.024425723
latency_ms_p95_chg1,0.050612126
prb_util_pct_avg_chg1,0.025659706
thrpt_mbps_avg_chg1,0.031758077
sinr_db_avg_chg1,0.02549223
latency_ms_p95_rm3,0.03478683
prb_util_pct_avg_rm3,0.04116548
thrpt_mbps_avg_rm3,0.04912547
sinr_db_avg_rm3,0.054435316
neighbor_degree,0.027659554
pagerank,0.059823636
betweenness,0.020164117
